Vendas e descontos por periodo
"Arvore mercadológica
Valor de custo baseado no custo médio
Período consulta: 01/01/2025  30/06/2025
Hora da emissão: 16/01/2026 10:19:51
Formulário.: PDV_RESUMO_FILIAL - AM
"
CodFilial,NomeFilial,DescriçãoProduto,EAN,DataVenda,Linha,VlrVenda,VlrLiqVenda,QtdeItem,VlrCusto
7,CACHOEIRA 1,20 BI C/10CPS (L),7891317031275,"02/01/2025",MIP - OTC,"119,99","89,99","1,00","69,33"
,,,,15/04/2025,MIP - OTC,"119,99","83,90","1,00","71,25"
,,,,31/05/2025,MIP - OTC,"239,98","179,80","2,00","112,90"
,,,,21/06/2025,MIP - OTC,"119,99","119,99","1,00","55,94"
,,20 BI C/30CPS (L),7891317031282,18/02/2025,MIP - OTC,"249,90","178,00","1,00","157,93"
,,,,24/04/2025,MIP - OTC,"249,90","175,00","1,00","149,36"
,,,,15/05/2025,MIP - OTC,"249,90","180,00","1,00","149,36"
,,,,"05/06/2025",MIP - OTC,"224,90","149,99","1,00","141,79"
,,,,11/06/2025,MIP - OTC,"224,90","157,99","1,00","141,79"
,,20 BI C/5CPS (L),7891317031268,17/02/2025,MIP - OTC,"74,90","57,99","1,00","45,71"
,,,,"08/04/2025",MIP - OTC,"74,90","67,90","1,00","43,83"
,,5 MAGNESIOS 500MG C/60CPS MUWIZ (L),7898702040799,"03/01/2025",NUTRACÊUTICOS,"39,90","39,90","1,00","18,13"
,,,,"03/02/2025",NUTRACÊUTICOS,"39,90","39,90","1,00","20,29"
,,,,21/03/2025,NUTRACÊUTICOS,"39,90","37,00","1,00","20,20"
,,,,30/04/2025,NUTRACÊUTICOS,"39,90","39,90","1,00","19,06"
,,5 STAR BOMBOM LACTA 40GRS,7622210411501,"05/01/2025",CONVENIENCIA,"4,38","3,99","1,00","2,52"
,,,,"06/01/2025",CONVENIENCIA,"4,38","3,99","1,00","2,52"
,,,,"07/01/2025",CONVENIENCIA,"8,76","7,98","2,00","5,04"
,,,,"08/01/2025",CONVENIENCIA,"4,38","3,99","1,00","2,52"
,,,,10/01/2025,CONVENIENCIA,"8,76","7,98","2,00","5,04"
,,,,14/01/2025,CONVENIENCIA,"4,38","3,99","1,00","2,52"
,,,,16/01/2025,CONVENIENCIA,"4,38","3,99","1,00","2,52"
